Species	Risor	SpongeID	SpongIndv	Sponge
Species6	EUS17047	Ircinia_strobilina/felix	SEUS17A	Ircinia_sp
xx	EUS17048	Ircinia_strobilina/felix	SEUS17A	Ircinia_sp
Species6	EUS17049	Ircinia_strobilina	SEUS17B	Ircinia_sp
Species4	EUS17050	Xestospongia_muta	SEUS17C	Xestospongia_muta
Species4	EUS17051	Xestospongia_muta	SEUS17C	Xestospongia_muta
Species4	EUS17052	Xestospongia_muta	SEUS17C	Xestospongia_muta
Species4	EUS17068	Xestospongia_muta	SEUS17D	Xestospongia_muta
Species4	EUS17089	Ircinia_strobilina	SEUS17E	Ircinia_sp
Species6	EUS17090	Ircinia_strobilina	SEUS17E	Ircinia_sp
Species6	EUS17091	Ircinia_felix	SEUS17F	Ircinia_sp
Species6	EUS17092	Ircinia_felix	SEUS17F	Ircinia_sp
Species6	EUS17093	Ircinia_felix	SEUS17F	Ircinia_sp
Species6	EUS17094	Ircinia_felix	SEUS17F	Ircinia_sp
Species6	EUS17095	Ircinia_felix	SEUS17F	Ircinia_sp
Species4	EUS17096	Ircinia_felix	SEUS17F	Ircinia_sp
Species6	EUS17097	Ircinia_felix	SEUS17F	Ircinia_sp
Species2	EUS17120	tunicate	SEUS17G	tunicate
Species6	EUS17121	Ircinia_sp	SEUS17H	Ircinia_sp
Species6	EUS17122	Ircinia_sp	SEUS17H	Ircinia_sp
xx	EUS17123	Xestospongia_muta	SEUS17I	Xestospongia_muta
Species1	EUS17124	Xestospongia_muta	SEUS17I	Xestospongia_muta
xx	EUS17125	Xestospongia_muta	SEUS17I	Xestospongia_muta
Species4	EUS17126	Xestospongia_muta	SEUS17I	Xestospongia_muta
Species4	EUS17127	Xestospongia_muta	SEUS17I	Xestospongia_muta
xx	EUS17128	Xestospongia_muta	SEUS17I	Xestospongia_muta
Species4	EUS17129	Xestospongia_muta	SEUS17J	Xestospongia_muta
Species4	EUS17130	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17131	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17132	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17133	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17134	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17135	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17136	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17137	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17138	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species4	EUS17139	Xestospongia_muta	SEUS17K	Xestospongia_muta
Species5	EUS17200	deep	SEUS17L	Aplysina_sp
Species5	EUS17201	deep	SEUS17L	Aplysina_sp
Species5	EUS17202	deep	SEUS17L	Aplysina_sp
Species5	EUS17203	deep	SEUS17L	Aplysina_sp
Species4	EUS17206	Xestospongia_muta	SEUS17M	Xestospongia_muta
Species4	EUS17207	Xestospongia_muta	SEUS17M	Xestospongia_muta
Species4	EUS17208	Xestospongia_muta	SEUS17M	Xestospongia_muta
Species4	EUS17209	Xestospongia_muta	SEUS17M	Xestospongia_muta
Species4	EUS17210	Xestospongia_muta	SEUS17N	Xestospongia_muta
Species4	EUS17211	Xestospongia_muta	SEUS17N	Xestospongia_muta
Species4	EUS17212	Xestospongia_muta	SEUS17N	Xestospongia_muta
Species4	EUS17213	Xestospongia_muta	SEUS17N	Xestospongia_muta
Species5	EUS17224	Aplysina_sp	SEUS17O	Aplysina_sp
Species5	EUS17225	Aplysina_sp	SEUS17O	Aplysina_sp
Species6	RBEL17A001	Ircinia_strobilina	SBEL17A	Ircinia_sp
Species6	RBEL17A002	Ircinia_strobilina	SBEL17A	Ircinia_sp
Species6	RBEL17A003	Ircinia_strobilina	SBEL17A	Ircinia_sp
Species6	RBEL17A004	Ircinia_strobilina	SBEL17A	Ircinia_sp
Species6	RBEL17B009	Ircinia_strobilina	SBEL17B	Ircinia_sp
Species6	RBEL17B010	Ircinia_strobilina	SBEL17B	Ircinia_sp
Species6	RBEL17C013	Ircinia_strobilina	SBEL17C	Ircinia_sp
Species6	RBEL17C014	Ircinia_strobilina	SBEL17C	Ircinia_sp
Species6	RBEL17D021	Ircinia_strobilina	SBEL17D	Ircinia_sp
Species6	RBEL17D022	Ircinia_strobilina	SBEL17D	Ircinia_sp
Species2	RBEL17E023	Ircinia_strobilina	SBEL17E	Ircinia_sp
Species6	RBEL17E024	Ircinia_strobilina	SBEL17E	Ircinia_sp
Species3	RBEL17F026	Verongula_rigida	SBEL17F	Verongula_sp
Species3	RBEL17G027	Callyspongia_plicifera	SBEL17G	Callyspongia_plicifera
Species6	RBEL17H028	Ircinia_strobilina	SBEL17H	Ircinia_sp
Species6	RBEL17I029	Ircinia_strobilina	SBEL17I	Ircinia_sp
Species6	RBEL17I030	Ircinia_strobilina	SBEL17I	Ircinia_sp
Species6	RPAN17A001	Ircinia_strobilina	SPAN17A	Ircinia_sp
Species6	RPAN17A002	Ircinia_strobilina	SPAN17A	Ircinia_sp
Species7	RPAN17B003	Aplysina_sp(lacunosa?)	SPAN17B	Aplysina_sp
