Date,Country,LocationCode,Location,Depth (ft),Fish,SL (mm),TL (mm),FishLineage,Sponge,SpongeID,SpongeGenus,Luke Fish ID
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A001,24.92,30.53,Lineage6,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A002,19.41,32.59,Lineage6,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A003,20.69,25.15,Lineage6,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A004,20.01,26.21,Lineage6,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A005,17.12,20.84,na,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A006,17.25,20.87,na,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A007,19.27,23.42,na,SBEL17A,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17A008,17.81,22.2,na,SBEL17A,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17B009,13.94,16.66,Lineage6,SBEL17B,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17B010,16.26,19.95,Lineage6,SBEL17B,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17B011,13.65,16.75,na,SBEL17B,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17B012,9,10.1,na,SBEL17B,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C013,16.7,20.93,Lineage6,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C014,14.71,18.54,Lineage6,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C015,15.8,19.65,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C016,12.69,14.97,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C017,13.65,15.83,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C018,12.88,15.54,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C019,13.57,16.36,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17C020,11.25,13.96,na,SBEL17C,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17D021,11.87,15.65,Lineage6,SBEL17D,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17D022,10.18,12.17,Lineage6,SBEL17D,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17E023,16.08,20.29,Lineage2,SBEL17E,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17E024,16.41,19.94,Lineage6,SBEL17E,Ircinia_strobilina,Ircinia,na
18-Mar-17,Belize,L02,Golden Reef B17,21,RBEL17E025,9.72,11.7,na,SBEL17E,Ircinia_strobilina,Ircinia,na
20-Mar-17,Belize,L03,Muddy Corner B25,18,RBEL17F026,6.78,7.83,Lineage3,SBEL17F,Verongula_rigida,Verongula,na
20-Mar-17,Belize,L03,Muddy Corner B25,18,RBEL17G027,13.99,16.81,Lineage3,SBEL17G,Callyspongia_plicifera,Callyspongia,na
20-Mar-17,Belize,L03,Muddy Corner B25,18,RBEL17H028,12.37,14.77,Lineage6,SBEL17H,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17I029,16.86,21.3,Lineage6,SBEL17I,Ircinia_strobilina,Ircinia,na
16-Mar-17,Belize,L01,South Water D23,2,RBEL17I030,17.58,22.19,Lineage6,SBEL17I,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L04,Hospital Pt,35,RPAN17A001,8.9,10.72,Lineage6,SPAN17A,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L04,Hospital Pt,35,RPAN17A002,7.05,8.56,Lineage6,SPAN17A,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L05,Punta Caracol,20,RPAN17B003,15.35,19.28,Lineage7,SPAN17B,Aplysina_sp,Aplysina,na
4-Apr-17,Panama,L05,Punta Caracol,27,RPAN17C004,11.66,14.48,Lineage7,SPAN17B,Aplysina_sp,Aplysina,na
4-Apr-17,Panama,L05,Punta Caracol,27,RPAN17C005,13.17,15.8,Lineage7,SPAN17C,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L05,Punta Caracol,21,RPAN17D006,16.3,20.45,Lineage6,SPAN17D,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L05,Punta Caracol,21,RPAN17D007,12.35,15.78,Lineage6,SPAN17D,Ircinia_strobilina,Ircinia,na
